"Group name","Title","Pair"
"CTRL","SRR5176629",NA
"CTRL","SRR5176630",NA
"CTRL","SRR5176632",NA
"CTRL","SRR5176646",NA
"CTRL","SRR5176647",NA
"CTRL","SRR5176651",NA
"CTRL","SRR5176653",NA
"CTRL","SRR5176654",NA
"CTRL","SRR5176656",NA
"CTRL","SRR5176663",NA
"CTRL","SRR5176666",NA
"CTRL","SRR5176670",NA
"PROGRESS","SRR5176671",NA
"CTRL","SRR5176674",NA
"CTRL","SRR5176675",NA
"CTRL","SRR5176681",NA
"PROGRESS","SRR5176682",NA
"PROGRESS","SRR5176690",NA
"CTRL","SRR5176691",NA
"PROGRESS","SRR5176697",NA
"PROGRESS","SRR5176699",NA
"PROGRESS","SRR5176707",NA
"PROGRESS","SRR5176708",NA
"CTRL","SRR5176709",NA
"PROGRESS","SRR5176726",NA
"PROGRESS","SRR5176729",NA
"CTRL","SRR5176730",NA
"PROGRESS","SRR5176740",NA
"CTRL","SRR5176745",NA
"CTRL","SRR5176750",NA
"PROGRESS","SRR5176751",NA
"CTRL","SRR5176756",NA
"CTRL","SRR5176758",NA
"CTRL","SRR5176768",NA
"PROGRESS","SRR5176769",NA
"CTRL","SRR5176777",NA
"CTRL","SRR5176778",NA
"CTRL","SRR5176781",NA
"PROGRESS","SRR5176783",NA
"PROGRESS","SRR5176794",NA
"PROGRESS","SRR5176802",NA
"PROGRESS","SRR5176805",NA
"PROGRESS","SRR5176806",NA
"PROGRESS","SRR5176820",NA
"PROGRESS","SRR5176825",NA
"PROGRESS","SRR5176829",NA
"PROGRESS","SRR5176830",NA
"PROGRESS","SRR5176838",NA
"PROGRESS","SRR5176840",NA
"PROGRESS","SRR5176841",NA
"CTRL","SRR5176842",NA
"CTRL","SRR5176843",NA
"CTRL","SRR5176844",NA
"CTRL","SRR5176848",NA
"CTRL","SRR5176849",NA
"CTRL","SRR5176850",NA
"CTRL","SRR5176851",NA
"CTRL","SRR5176853",NA
"CTRL","SRR5176856",NA
"PROGRESS","SRR5176858",NA
"PROGRESS","SRR5176864",NA
"PROGRESS","SRR5176868",NA
