"Organism","Gene Name","Family"
"Mus musculus","Rpsa","RPSA"
"Mus musculus","Rps2","RPS2"
"Mus musculus","Rps3","RPS3"
"Mus musculus","Rps3a","RPS3A"
"Mus musculus","Rps4x","RPS4"
"Mus musculus","Rps5","RPS5"
"Mus musculus","Rps6","RPS6"
"Mus musculus","Rps7","RPS7"
"Mus musculus","Rps8","RPS8"
"Mus musculus","Rps9","RPS9"
"Mus musculus","Rps10","RPS10"
"Mus musculus","Rps11","RPS11"
"Mus musculus","Rps12","RPS12"
"Mus musculus","Rps13","RPS13"
"Mus musculus","Rps14","RPS14"
"Mus musculus","Rps15","RPS15"
"Mus musculus","Rps15a","RPS15A"
"Mus musculus","Rps16","RPS16"
"Mus musculus","Rps17","RPS17"
"Mus musculus","Rps18","RPS18"
"Mus musculus","Rps19","RPS19"
"Mus musculus","Rps20","RPS20"
"Mus musculus","Rps21","RPS21"
"Mus musculus","Rps23","RPS23"
"Mus musculus","Rps24","RPS24"
"Mus musculus","Rps25","RPS25"
"Mus musculus","Rps26","RPS26"
"Mus musculus","Rps27","RPS27"
"Mus musculus","Rps27a","RPS27A"
"Mus musculus","Rps28","RPS28"
"Mus musculus","Rps29","RPS29"
"Mus musculus","Rps30,Fau","RPS30"
"Mus musculus","Rpl3","RPL3"
"Mus musculus","Rpl4","RPL4"
"Mus musculus","Rpl5","RPL5"
"Mus musculus","Rpl6","RPL6"
"Mus musculus","Rpl7","RPL7"
"Mus musculus","Rpl7a","RPL7A"
"Mus musculus","Rpl8","RPL8"
"Mus musculus","Rpl9","RPL9"
"Mus musculus","Rpl10","RPL10"
"Mus musculus","Rpl10a","RPL10A"
"Mus musculus","Rpl11","RPL11"
"Mus musculus","Rpl12","RPL12"
"Mus musculus","Rpl13","RPL13"
"Mus musculus","Rpl13a","RPL13A"
"Mus musculus","Rpl14","RPL14"
"Mus musculus","Rpl15","RPL15"
"Mus musculus","Rpl17","RPL17"
"Mus musculus","Rpl18","RPL18"
"Mus musculus","Rpl18a","RPL18A"
"Mus musculus","Rpl19","RPL19"
"Mus musculus","Rpl21","RPL21"
"Mus musculus","Rpl22","RPL22"
"Mus musculus","Rpl23","RPL23"
"Mus musculus","Rpl23a","RPL23A"
"Mus musculus","Rpl24","RPL24"
"Mus musculus","Rpl26","RPL26"
"Mus musculus","Rpl27","RPL27"
"Mus musculus","Rpl27a","RPL27A"
"Mus musculus","Rpl28","RPL28"
"Mus musculus","Rpl29","RPL29"
"Mus musculus","Rpl30","RPL30"
"Mus musculus","Rpl31","RPL31"
"Mus musculus","Rpl32","RPL32"
"Mus musculus","Rpl34","RPL34"
"Mus musculus","Rpl35","RPL35"
"Mus musculus","Rpl35a","RPL35A"
"Mus musculus","Rpl36","RPL36"
"Mus musculus","Rpl44","RPL36A"
"Mus musculus","Rpl37","RPL37"
"Mus musculus","Rpl37a","RPL37A"
"Mus musculus","Rpl38","RPL38"
"Mus musculus","Rpl39","RPL39"
"Mus musculus","Rpl40","RPL40"
"Mus musculus","Rpl41","RPL41"
"Mus musculus","Rplp0","RPLP0"
"Mus musculus","Rplp1","RPLP1"
"Mus musculus","Rplp2","RPLP2"
